,transcription,action,object,location
7419,Make it cooler,decrease,heat,none
7420,Louder phone,increase,volume,none
7421,Turn the lights off in the kitchen,deactivate,lights,kitchen
7422,Make the music softer,decrease,volume,none
7423,Bathroom heat up,increase,heat,washroom
7424,Turn up the heat in the bathroom,increase,heat,washroom
7425,Bathroom lights on,activate,lights,washroom
7426,Turn down the washroom temperature,decrease,heat,washroom
7427,Make it quieter,decrease,volume,none
7428,Turn the heat down in the bathroom,decrease,heat,washroom
7429,Turn it down,decrease,volume,none
7430,Turn sound up,increase,volume,none
7431,Bring me my socks,bring,socks,none
7432,Switch the lights off in the kitchen,deactivate,lights,kitchen
7433,Too quiet,increase,volume,none
7434,Switch the bedroom lights on,activate,lights,bedroom
7435,Turn up the bathroom temperature,increase,heat,washroom
7436,Lights off in the kitchen,deactivate,lights,kitchen
7437,Bring me my shoes,bring,shoes,none
7438,Turn the kitchen temperature down,decrease,heat,kitchen
7439,Lights off in the bedroom,deactivate,lights,bedroom
7440,Switch off the lamp,deactivate,lamp,none
7441,Bring socks,bring,socks,none
7442,Washroom lights on,activate,lights,washroom
7443,More heat,increase,heat,none
7444,Washroom lights on,activate,lights,washroom
7445,Heat up,increase,heat,none
7446,Set language to German,change language,German,none
7447,Lamp off,deactivate,lamp,none
7448,Less heat,decrease,heat,none
7449,Turn up the bedroom heat,increase,heat,bedroom
7450,Turn the washroom lights off,deactivate,lights,washroom
7451,Decrease the heating in the bedroom,decrease,heat,bedroom
7452,Turn down the volume,decrease,volume,none
7453,Bring newspaper,bring,newspaper,none
7454,Far too loud,decrease,volume,none
7455,Increase the temperature,increase,heat,none
7456,Turn down the volume,decrease,volume,none
7457,OK now switch the main language to Chinese,change language,Chinese,none
7458,I need to practice my Korean. Switch the language,change language,Korean,none
7459,OK now switch the main language to Chinese,change language,Chinese,none
7460,Pause the music,deactivate,music,none
7461,Turn the heat down in the bathroom,decrease,heat,washroom
7462,Turn the volume down,decrease,volume,none
7463,Kitchen heat down,decrease,heat,kitchen
7464,Resume music,activate,music,none
7465,Turn the temperature up,increase,heat,none
7466,Turn down the temperature in the bedroom,decrease,heat,bedroom
7467,Resume music,activate,music,none
7468,OK now switch the main language to German,change language,German,none
7469,Turn the heat up,increase,heat,none
7470,Switch on the kitchen lights,activate,lights,kitchen
7471,Switch off the lamp,deactivate,lamp,none
7472,Set the language,change language,none,none
7473,Decrease the heating in the bedroom,decrease,heat,bedroom
7474,Far too quiet,increase,volume,none
7475,Turn the kitchen temperature down,decrease,heat,kitchen
7476,Volume down,decrease,volume,none
7477,Turn the washroom lights off,deactivate,lights,washroom
7478,Stop the music,deactivate,music,none
7479,Change system language,change language,none,none
7480,Bathroom lights on,activate,lights,washroom
7481,Turn up the heat,increase,heat,none
7482,Turn up the heat,increase,heat,none
7483,That's too quiet,increase,volume,none
7484,Resume,activate,music,none
7485,Turn the heat up in the bathroom,increase,heat,washroom
7486,Could you decrease the heating please?,decrease,heat,none
7487,Lights off,deactivate,lights,none
7488,"This video sound is too low, turn up the volume",increase,volume,none
7489,Decrease sound levels,decrease,volume,none
7490,Could you increase the heating?,increase,heat,none
7491,Turn off the lights in the bedroom,deactivate,lights,bedroom
7492,Get me some juice,bring,juice,none
7493,Increase the heating in the washroom,increase,heat,washroom
7494,Allow a different language,change language,none,none
7495,Switch on the lights in the bedroom,activate,lights,bedroom
7496,Pause music,deactivate,music,none
7497,Turn the lights on in the kitchen,activate,lights,kitchen
7498,Turn volume up,increase,volume,none
7499,"I couldn't hear anything, turn up the volume",increase,volume,none
7500,Turn up the bedroom heat,increase,heat,bedroom
7501,Turn up the heat in the washroom,increase,heat,washroom
7502,Turn the kitchen temperature down,decrease,heat,kitchen
7503,Turn the heat down,decrease,heat,none
7504,Turn the heat down,decrease,heat,none
7505,Get me the newspaper,bring,newspaper,none
7506,Turn up the volume,increase,volume,none
7507,Switch off the lights in the kitchen,deactivate,lights,kitchen
7508,Increase the heating in the washroom,increase,heat,washroom
7509,Less heat,decrease,heat,none
7510,Change the language,change language,none,none
7511,Turn off the lamp,deactivate,lamp,none
7512,Lower the volume,decrease,volume,none
7513,Turn it down,decrease,volume,none
7514,Washroom lights on,activate,lights,washroom
7515,Too quiet,increase,volume,none
7516,Switch the lights off,deactivate,lights,none
7517,"I need to hear this, increase the volume",increase,volume,none
7518,Turn the temperature down in the bathroom,decrease,heat,washroom
7519,Turn volume down,decrease,volume,none
7520,Turn off the lamp,deactivate,lamp,none
7521,Turn up the heat in the kitchen,increase,heat,kitchen
7522,Turn off the music,deactivate,music,none
7523,Turn sound down,decrease,volume,none
7524,Increase the heating in the bedroom,increase,heat,bedroom
7525,Turn the temperature down,decrease,heat,none
7526,Bring newspaper,bring,newspaper,none
7527,Set my phone's language to German,change language,German,none
7528,Kitchen lights on,activate,lights,kitchen
7529,Increase the heating in the bedroom,increase,heat,bedroom
7530,Turn volume down,decrease,volume,none
7531,Open language settings,change language,none,none
7532,Switch off the lights in the bedroom,deactivate,lights,bedroom
7533,Turn the temperature down in the bathroom,decrease,heat,washroom
7534,Bring some juice,bring,juice,none
7535,Bedroom heat up,increase,heat,bedroom
7536,Turn the temperature up,increase,heat,none
7537,Turn the heat down in the kitchen,decrease,heat,kitchen
7538,OK now switch the main language to German,change language,German,none
7539,Increase the volume,increase,volume,none
7540,Set the language,change language,none,none
7541,Decrease audio volume,decrease,volume,none
7542,Quieter,decrease,volume,none
7543,Turn up the heat,increase,heat,none
7544,Decrease the heating,decrease,heat,none
7545,I can't hear that,increase,volume,none
7546,Reduce audio volume,decrease,volume,none
7547,Decrease the temperature in the kitchen,decrease,heat,kitchen
7548,Make the music softer,decrease,volume,none
7549,Bring shoes,bring,shoes,none
7550,Turn down the washroom temperature,decrease,heat,washroom
7551,Set language to English,change language,English,none
7552,Make the music louder,increase,volume,none
7553,I need to practice my Chinese. Switch the language,change language,Chinese,none
7554,Fetch my socks,bring,socks,none
7555,Turn off the washroom lights,deactivate,lights,washroom
7556,Turn down the temperature in the bedroom,decrease,heat,bedroom
7557,Decrease the temperature,decrease,heat,none
7558,Switch off the washroom lights,deactivate,lights,washroom
7559,Turn the washroom lights off,deactivate,lights,washroom
7560,Switch on the lights,activate,lights,none
7561,Decrease audio volume,decrease,volume,none
7562,Turn the lamp on,activate,lamp,none
7563,Turn the volume down,decrease,volume,none
7564,Turn up the bathroom temperature,increase,heat,washroom
7565,Switch on the lights in the bedroom,activate,lights,bedroom
7566,Turn up the heat in the washroom,increase,heat,washroom
7567,Switch on the lights in the bedroom,activate,lights,bedroom
7568,Too loud,decrease,volume,none
7569,Decrease the heating,decrease,heat,none
7570,Turn the sound up,increase,volume,none
7571,Switch the language,change language,none,none
7572,Turn up the heat in the kitchen,increase,heat,kitchen
7573,Turn the heat down in the washroom,decrease,heat,washroom
7574,Change the language,change language,none,none
7575,Go get me some juice,bring,juice,none
7576,Switch the lights off,deactivate,lights,none
7577,Too quiet,increase,volume,none
7578,Resume music,activate,music,none
7579,Bring me some juice,bring,juice,none
7580,Turn the bathroom lights on,activate,lights,washroom
7581,Lamp off,deactivate,lamp,none
7582,Turn the volume down,decrease,volume,none
7583,Turn up the temperature,increase,heat,none
7584,Turn down the washroom temperature,decrease,heat,washroom
7585,Turn down the heat in the washroom,decrease,heat,washroom
7586,I need to practice my German. Switch the language,change language,German,none
7587,Decrease the temperature in the bathroom,decrease,heat,washroom
7588,Increase the heating in the bathroom,increase,heat,washroom
7589,Decrease the temperature in the bedroom,decrease,heat,bedroom
7590,Go get me my shoes,bring,shoes,none
7591,Lights on in the bathroom,activate,lights,washroom
7592,Decrease the volume,decrease,volume,none
7593,I need volume,increase,volume,none
7594,Turn on the kitchen lights,activate,lights,kitchen
7595,Go get me some juice,bring,juice,none
7596,Increase the temperature in the bedroom,increase,heat,bedroom
7597,Turn the heat down in the bathroom,decrease,heat,washroom
7598,Turn the temperature up in the washroom,increase,heat,washroom
7599,Bring socks,bring,socks,none
7600,Bring some juice,bring,juice,none
7601,Turn the bedroom heat down,decrease,heat,bedroom
7602,Set language to Chinese,change language,Chinese,none
7603,"I need to hear this, increase the volume",increase,volume,none
7604,Stop,deactivate,music,none
7605,Turn volume down,decrease,volume,none
7606,Switch the lights on,activate,lights,none
7607,Less heat,decrease,heat,none
7608,Start the music,activate,music,none
7609,OK now switch the main language to Chinese,change language,Chinese,none
7610,Turn the temperature up in the washroom,increase,heat,washroom
7611,"This video sound is too low, turn up the volume",increase,volume,none
7612,Decrease the heating,decrease,heat,none
7613,Decrease the heating in the kitchen,decrease,heat,kitchen
7614,I need to practice my Korean. Switch the language,change language,Korean,none
7615,Increase the temperature in the washroom,increase,heat,washroom
7616,Increase the temperature in the washroom,increase,heat,washroom
7617,Bathroom lights on,activate,lights,washroom
7618,Turn off the lamp,deactivate,lamp,none
7619,Use a different language,change language,none,none
7620,Lights off in the bedroom,deactivate,lights,bedroom
7621,Put on the music,activate,music,none
7622,Volume max,increase,volume,none
7623,Get me some juice,bring,juice,none
7624,Bedroom lights on,activate,lights,bedroom
7625,Decrease the heating,decrease,heat,none
7626,Switch on the lamp,activate,lamp,none
7627,Turn down the temperature,decrease,heat,none
7628,Turn the heat down in the bathroom,decrease,heat,washroom
7629,Lights off in the washroom,deactivate,lights,washroom
7630,Set language to Korean,change language,Korean,none
7631,I need to practice my English. Switch the language,change language,English,none
7632,Turn the heat down in the washroom,decrease,heat,washroom
7633,OK now switch the main language to Chinese,change language,Chinese,none
7634,Lights on in the bathroom,activate,lights,washroom
7635,Kitchen lights on,activate,lights,kitchen
7636,Could you decrease the heating?,decrease,heat,none
7637,Play the music,activate,music,none
7638,Turn the heat down,decrease,heat,none
7639,Turn the kitchen lights on,activate,lights,kitchen
7640,I need volume,increase,volume,none
7641,Turn up the volume,increase,volume,none
7642,Bedroom lights off,deactivate,lights,bedroom
7643,Turn down the heat in the kitchen,decrease,heat,kitchen
7644,Decrease the heating in the bathroom,decrease,heat,washroom
7645,Turn the washroom lights off,deactivate,lights,washroom
7646,Turn down the heat in the washroom,decrease,heat,washroom
7647,Make it cooler,decrease,heat,none
7648,Turn up the washroom temperature,increase,heat,washroom
